sig_date,code,name,tag,regime,layers,in_top5,in_wide,buy_date,buy,g20,g60,g120,maxgain,peak_off,peak_date,dd_off,maxdd,post_peak_dd,r10,end_ret,dip_first
2008-05-19,002050,三花智控,电池/家电,OSCILLATION,"all,none",True,False,2008-05-20,1.697,0.33,0.33,0.33,0.33,1,2008-05-20,114,-62.05,-62.17,-9.4,-50.33,False
2008-05-19,002179,中航光电,军工,OSCILLATION,"all,none",False,False,2008-05-20,1.638,9.53,9.53,9.53,9.53,7,2008-05-28,112,-63.52,-66.69,-0.31,-50.22,False
2008-05-19,600030,中信证券,证券,OSCILLATION,"all,none",False,False,2008-05-20,17.695,1.08,1.08,1.08,1.08,1,2008-05-20,86,-57.0,-57.46,-6.72,-44.41,False
2008-05-19,600089,特变电工,光伏,OSCILLATION,all,False,False,2008-05-20,4.666,5.36,5.36,10.0,10.0,118,2008-11-20,21,-31.97,-9.47,-0.26,3.2,True
2008-05-19,600111,北方稀土,有色金属,OSCILLATION,"all,none",False,False,2008-05-20,4.734,0.44,0.44,0.44,0.44,1,2008-05-20,116,-75.3,-75.41,-13.02,-68.88,False
2008-05-19,600276,恒瑞医药,创新药/医药,OSCILLATION,"all,none",True,False,2008-05-20,3.004,5.74,5.74,5.74,5.74,3,2008-05-22,109,-24.9,-28.97,0.32,-21.6,False
2008-05-19,600487,亨通光电,通信,OSCILLATION,"all,none",False,False,2008-05-20,2.318,6.58,6.58,6.58,6.58,5,2008-05-26,108,-64.6,-66.79,-6.92,-51.85,False
2008-05-19,600549,厦门钨业,电池/有色金属,OSCILLATION,"all,none",True,False,2008-05-20,6.648,2.33,2.33,2.33,2.33,1,2008-05-20,23,-42.91,-44.21,-8.4,-33.9,False
2008-05-19,601898,中煤能源,煤炭,OSCILLATION,"all,none",False,False,2008-05-20,13.054,7.52,7.52,7.52,7.52,3,2008-05-22,108,-70.21,-72.29,1.18,-63.43,False
2008-05-26,000657,中钨高新,有色金属,CRASH,"all,none",False,False,2008-05-27,3.678,14.74,14.74,14.74,14.74,3,2008-05-30,77,-70.82,-74.57,-5.92,-54.49,False
2008-05-26,002179,中航光电,军工,CRASH,"all,none",False,False,2008-05-27,1.588,13.02,13.02,13.02,13.02,2,2008-05-28,107,-62.36,-66.69,-6.86,-40.8,False
2008-05-26,600089,特变电工,光伏,CRASH,all,False,False,2008-05-27,4.551,3.86,3.86,16.97,16.97,120,2008-12-01,16,-30.24,-6.24,-17.08,16.81,True
2008-05-26,600111,北方稀土,有色金属,CRASH,"all,none",False,False,2008-05-27,4.297,8.82,8.82,8.82,8.82,1,2008-05-27,111,-72.79,-74.99,-14.0,-63.29,False
2008-05-26,600276,恒瑞医药,创新药/医药,CRASH,"all,none",True,False,2008-05-27,2.958,3.68,3.68,3.68,3.68,1,2008-05-27,104,-23.73,-26.44,-9.03,-14.5,False
2008-05-26,600487,亨通光电,通信,CRASH,"all,none",False,False,2008-05-27,2.277,0.47,0.47,0.47,0.47,1,2008-05-27,103,-63.96,-64.13,-27.47,-46.56,False
2008-06-02,000657,中钨高新,有色金属,BEARISH,"all,none",False,False,2008-06-03,4.045,0.66,0.66,0.66,0.66,1,2008-06-03,73,-73.47,-73.64,-31.94,-54.67,False
2008-06-02,002050,三花智控,电池/家电,BEARISH,"all,none",True,False,2008-06-03,1.537,3.39,3.39,3.39,3.39,4,2008-06-06,104,-58.09,-59.46,-12.43,-49.05,False
2008-06-02,002179,中航光电,军工,BEARISH,"all,none",False,False,2008-06-03,1.628,4.64,4.64,4.64,4.64,1,2008-06-03,102,-63.29,-64.92,-16.18,-46.27,False
2008-06-02,600030,中信证券,证券,BEARISH,"all,none",False,False,2008-06-03,16.507,1.48,1.48,1.48,1.48,1,2008-06-03,76,-53.9,-54.58,-26.79,-39.94,False
